id,pesan,aktif
1,"Jangan menyerah, setiap langkah kecil berarti!",true
2,"Kesehatan adalah investasi terbaik untuk masa depan.",true
3,"Mulai hari ini dengan semangat baru!",true
4,"Setiap pilihan sehat adalah kemenangan.",true
5,"Kamu lebih kuat dari yang kamu kira.",true
6,"Jangan bandingkan dirimu dengan orang lain, fokus pada progresmu.",true
7,"Satu hari sehat lebih baik daripada tidak sama sekali.",true
8,"Tetap konsisten, hasil akan mengikuti.",true
9,"Jangan takut gagal, itu bagian dari proses.",true
10,"Tubuh sehat, pikiran kuat.",true
11,"Setiap hari adalah kesempatan baru.",true
12,"Kamu bisa mencapai tujuanmu!",true
13,"Jangan lupa minum air putih hari ini.",true
14,"Makan sehat, hidup bahagia.",true
15,"Jangan remehkan kekuatan olahraga ringan.",true
16,"Kesehatan dimulai dari niat baik.",true
17,"Jaga pola makan, jaga masa depan.",true
18,"Kamu inspirasi untuk sekitarmu.",true
19,"Setiap usaha kecil akan terbayar.",true
20,"Jangan lupa istirahat yang cukup.",true
21,"Kamu sudah melakukan yang terbaik hari ini.",true
22,"Jangan biarkan satu kesalahan merusak semangatmu.",true
23,"Tetap bergerak, tetap sehat.",true
24,"Kesehatan adalah hadiah terbesar.",true
25,"Kamu pantas mendapatkan hidup sehat.",true
26,"Jangan tunda untuk mulai hidup sehat.",true
27,"Setiap hari adalah awal yang baru.",true
28,"Kamu bisa mengubah kebiasaanmu.",true
29,"Jangan lupa bersyukur atas kesehatanmu.",true
30,"Makan dengan sadar, nikmati setiap gigitan.",true
31,"Kesehatan adalah perjalanan, bukan tujuan akhir.",true
32,"Jangan takut mencoba resep sehat baru.",true
33,"Kamu berhak bahagia dan sehat.",true
34,"Jangan lupa cek kesehatan secara rutin.",true
35,"Kesehatan mental sama pentingnya dengan fisik.",true
36,"Jangan biarkan stres menguasai harimu.",true
37,"Kamu bisa, asal mau berusaha.",true
38,"Jangan lupa tersenyum hari ini.",true
39,"Setiap hari adalah kesempatan untuk lebih baik.",true
40,"Jangan lupa sarapan sehat.",true
41,"Kamu sudah hebat bertahan sampai di sini.",true
42,"Jangan lupa olahraga, sekecil apapun.",true
43,"Kesehatan adalah prioritas utama.",true
44,"Jangan lupa makan buah dan sayur.",true
45,"Kamu bisa menginspirasi orang lain.",true
46,"Jangan lupa beristirahat dari layar gadget.",true
47,"Kesehatan adalah tanggung jawab pribadi.",true
48,"Jangan lupa bernafas dalam-dalam.",true
49,"Kamu layak mendapatkan tubuh sehat.",true
50,"Jangan lupa rayakan progresmu!",true
